path	emotion
./shemo-persian-speech-emotion-detection-database/M27N59.wav	neutral
./shemo-persian-speech-emotion-detection-database/M12N09.wav	neutral
./shemo-persian-speech-emotion-detection-database/M12N80.wav	neutral
./shemo-persian-speech-emotion-detection-database/M27N39.wav	neutral
./shemo-persian-speech-emotion-detection-database/F05N09.wav	neutral
./shemo-persian-speech-emotion-detection-database/M40N37.wav	neutral
./shemo-persian-speech-emotion-detection-database/M27N14.wav	neutral
./shemo-persian-speech-emotion-detection-database/M56N03.wav	neutral
./shemo-persian-speech-emotion-detection-database/M12A64.wav	angry
./shemo-persian-speech-emotion-detection-database/M53N17.wav	neutral
./shemo-persian-speech-emotion-detection-database/M12A12.wav	angry
./shemo-persian-speech-emotion-detection-database/F19N35.wav	neutral
./shemo-persian-speech-emotion-detection-database/M07F02.wav	fear
./shemo-persian-speech-emotion-detection-database/M28A17.wav	angry
./shemo-persian-speech-emotion-detection-database/M16A33.wav	angry
./shemo-persian-speech-emotion-detection-database/M25N02.wav	neutral
./shemo-persian-speech-emotion-detection-database/M24S04.wav	sad
./shemo-persian-speech-emotion-detection-database/F07A50.wav	angry
./shemo-persian-speech-emotion-detection-database/M16F01.wav	fear
./shemo-persian-speech-emotion-detection-database/F24S08.wav	sad
./shemo-persian-speech-emotion-detection-database/F23S04.wav	sad
./shemo-persian-speech-emotion-detection-database/M30N03.wav	neutral
./shemo-persian-speech-emotion-detection-database/M39H01.wav	happy
./shemo-persian-speech-emotion-detection-database/F21A01.wav	angry
./shemo-persian-speech-emotion-detection-database/F21A12.wav	angry
./shemo-persian-speech-emotion-detection-database/M46A01.wav	angry
./shemo-persian-speech-emotion-detection-database/M42A11.wav	angry
./shemo-persian-speech-emotion-detection-database/M04S03.wav	sad
./shemo-persian-speech-emotion-detection-database/F24A02.wav	angry
./shemo-persian-speech-emotion-detection-database/M40N13.wav	neutral
./shemo-persian-speech-emotion-detection-database/F24S05.wav	sad
./shemo-persian-speech-emotion-detection-database/M47A15.wav	angry
./shemo-persian-speech-emotion-detection-database/M30N08.wav	neutral
./shemo-persian-speech-emotion-detection-database/M53A03.wav	angry
./shemo-persian-speech-emotion-detection-database/M13H01.wav	happy
./shemo-persian-speech-emotion-detection-database/F11N09.wav	neutral
./shemo-persian-speech-emotion-detection-database/M04N21.wav	neutral
./shemo-persian-speech-emotion-detection-database/M12S03.wav	sad
./shemo-persian-speech-emotion-detection-database/F10A54.wav	angry
./shemo-persian-speech-emotion-detection-database/M03A24.wav	angry
./shemo-persian-speech-emotion-detection-database/M05N01.wav	neutral
./shemo-persian-speech-emotion-detection-database/F06H05.wav	happy
./shemo-persian-speech-emotion-detection-database/M44N17.wav	neutral
./shemo-persian-speech-emotion-detection-database/M26A22.wav	angry
./shemo-persian-speech-emotion-detection-database/F11S04.wav	sad
./shemo-persian-speech-emotion-detection-database/M04N32.wav	neutral
./shemo-persian-speech-emotion-detection-database/M19S01.wav	sad
./shemo-persian-speech-emotion-detection-database/M03A14.wav	angry
./shemo-persian-speech-emotion-detection-database/F03H05.wav	happy
./shemo-persian-speech-emotion-detection-database/F17S06.wav	sad
./shemo-persian-speech-emotion-detection-database/F05S04.wav	sad
./shemo-persian-speech-emotion-detection-database/M31A04.wav	angry
./shemo-persian-speech-emotion-detection-database/M28A43.wav	angry
./shemo-persian-speech-emotion-detection-database/M02A11.wav	angry
./shemo-persian-speech-emotion-detection-database/F09A08.wav	angry
./shemo-persian-speech-emotion-detection-database/M05A07.wav	angry
./shemo-persian-speech-emotion-detection-database/F31S01.wav	sad
./shemo-persian-speech-emotion-detection-database/M03A39.wav	angry
./shemo-persian-speech-emotion-detection-database/F23H02.wav	happy
./shemo-persian-speech-emotion-detection-database/F10A17.wav	angry
./shemo-persian-speech-emotion-detection-database/M44H01.wav	happy
./shemo-persian-speech-emotion-detection-database/M22A05.wav	angry
./shemo-persian-speech-emotion-detection-database/F24A36.wav	angry
